global_id,source,source_card_no,type,term,pinyin,arabic,is_duplicate_term,duplicate_group,current_src,suggested_filename,visual_concept_ar,image_prompt_en,status
M6-FC-50,mock6.html,50,flashcard,应聘者,yìngpìnzhě,المتقدّم للوظيفة,no,,inline SVG/card design,m6-fc-50-应聘者.webp,متقدم وظيفة يحمل سيرة ذاتية أمام مكتب مقابلة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 应聘者 (yìngpìnzhě) meaning in Arabic: المتقدّم للوظيفة. Visual concept: متقدم وظيفة يحمل سيرة ذاتية أمام مكتب مقابلة.",pending_generation_or_review
M6-FC-51,mock6.html,51,flashcard,法律,fǎlǜ,قانون,no,,inline SVG/card design,m6-fc-51-法律.webp,ميزان عدالة وكتاب قانون ودرع حماية للأطفال.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 法律 (fǎlǜ) meaning in Arabic: قانون. Visual concept: ميزان عدالة وكتاب قانون ودرع حماية للأطفال.",pending_generation_or_review
M6-FC-52,mock6.html,52,flashcard,危险,wēixiǎn,خطر / خطير,no,,inline SVG/card design,m6-fc-52-危险.webp,علامة خطر حمراء وموقف طارئ مع شخص يبقى هادئاً.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 危险 (wēixiǎn) meaning in Arabic: خطر / خطير. Visual concept: علامة خطر حمراء وموقف طارئ مع شخص يبقى هادئاً.",pending_generation_or_review
M6-FC-53,mock6.html,53,flashcard,批评,pīpíng,ينتقد / يوبّخ,no,,inline SVG/card design,m6-fc-53-批评.webp,شخص يتلقى ملاحظة قاسية وورقة عليها علامة حمراء؛ نقد/توبيخ.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 批评 (pīpíng) meaning in Arabic: ينتقد / يوبّخ. Visual concept: شخص يتلقى ملاحظة قاسية وورقة عليها علامة حمراء؛ نقد/توبيخ.",pending_generation_or_review
M6-FC-54,mock6.html,54,flashcard,压力,yālì,ضغط (نفسي),yes,M6-FC-54 | M9-FC-25,inline SVG/card design,m6-fc-54-压力.webp,طالب تحت صخرة رمزية فوق رأسه بين أوراق كثيرة؛ ضغط نفسي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 压力 (yālì) meaning in Arabic: ضغط (نفسي). Visual concept: طالب تحت صخرة رمزية فوق رأسه بين أوراق كثيرة؛ ضغط نفسي.",pending_generation_or_review
M6-WR-096,mock6.html,96,writing_image,座位,,مقعد,no,,https://public.hskmock.cn/hsk-examination/hsk4/32884d140ae8da50/73960ee7-8bce-45a6-87ab-7eb8c4ebab2e.jpg,m6-wr-096-座位.webp,مقاعد قطار فارغة واضحة، سهم يحدد المقعد المتاح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 座位 () meaning in Arabic: مقعد. Visual concept: مقاعد قطار فارغة واضحة، سهم يحدد المقعد المتاح.",pending_generation_or_review
M6-WR-097,mock6.html,97,writing_image,印象,,انطباع,no,,https://public.hskmock.cn/hsk-examination/hsk4/32884d140ae8da50/2f26586e-d50a-4f23-892f-2ce3842b0b6d.jpg,m6-wr-097-印象.webp,لقاء أول يترك بصمة مضيئة في الذهن؛ انطباع أول.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 印象 () meaning in Arabic: انطباع. Visual concept: لقاء أول يترك بصمة مضيئة في الذهن؛ انطباع أول.",pending_generation_or_review
M6-WR-098,mock6.html,98,writing_image,商量,,يتشاور / يناقش,yes,M6-FC-21 | M6-WR-098,https://public.hskmock.cn/hsk-examination/hsk4/32884d140ae8da50/eb83e20c-3d16-4a9c-bc29-87891b0f223b.jpg,m6-wr-098-商量.webp,أربعة أشخاص حول طاولة يناقشون خطة بأوراق وملاحظات ملونة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 商量 () meaning in Arabic: يتشاور / يناقش. Visual concept: أربعة أشخاص حول طاولة يناقشون خطة بأوراق وملاحظات ملونة.",pending_generation_or_review
M6-WR-099,mock6.html,99,writing_image,挂,,يُعلّق,no,,https://public.hskmock.cn/hsk-examination/hsk4/32884d140ae8da50/9bffad10-3da5-4191-b9c3-f1de1138a584.jpg,m6-wr-099-挂.webp,شخص يعلّق لوحة على الحائط بخطاف واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 挂 () meaning in Arabic: يُعلّق. Visual concept: شخص يعلّق لوحة على الحائط بخطاف واضح.",pending_generation_or_review
M6-WR-100,mock6.html,100,writing_image,苦,,مرّ,yes,M6-FC-08 | M6-WR-100 | M9-FC-45,https://public.hskmock.cn/hsk-examination/hsk4/32884d140ae8da50/4addb702-fd47-479d-b2e6-dc8514e07874.jpg,m6-wr-100-苦.webp,شاب يتذوق قهوة مرة ويعصر وجهه؛ ربط الطعم المر بالمعاناة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 苦 () meaning in Arabic: مرّ. Visual concept: شاب يتذوق قهوة مرة ويعصر وجهه؛ ربط الطعم المر بالمعاناة.",pending_generation_or_review
M9-FC-01,mock9.html,1,flashcard,打针,dǎzhēn,حقنة,no,,JS flashcard color card / no real image,m9-fc-01-打针.webp,ممرضة تعطي حقنة بهدوء في عيادة آمنة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 打针 (dǎzhēn) meaning in Arabic: حقنة. Visual concept: ممرضة تعطي حقنة بهدوء في عيادة آمنة.",pending_generation_or_review
M9-FC-02,mock9.html,2,flashcard,演出,yǎnchū,عرض,no,,JS flashcard color card / no real image,m9-fc-02-演出.webp,خشبة مسرح بإضاءة دافئة ومؤدون أمام جمهور.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 演出 (yǎnchū) meaning in Arabic: عرض. Visual concept: خشبة مسرح بإضاءة دافئة ومؤدون أمام جمهور.",pending_generation_or_review
M9-FC-03,mock9.html,3,flashcard,行李箱,xínglǐxiāng,حقيبة سفر,no,,JS flashcard color card / no real image,m9-fc-03-行李箱.webp,حقيبة سفر بعجلات في مطار أو محطة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 行李箱 (xínglǐxiāng) meaning in Arabic: حقيبة سفر. Visual concept: حقيبة سفر بعجلات في مطار أو محطة.",pending_generation_or_review
M9-FC-04,mock9.html,4,flashcard,葡萄,pútáo,عنب,yes,M6-FC-07 | M9-FC-04,JS flashcard color card / no real image,m9-fc-04-葡萄.webp,عنقود عنب بنفسجي نديّ بأوراق خضراء، لقطة قريبة قوية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 葡萄 (pútáo) meaning in Arabic: عنب. Visual concept: عنقود عنب بنفسجي نديّ بأوراق خضراء، لقطة قريبة قوية.",pending_generation_or_review
M9-FC-05,mock9.html,5,flashcard,沙发,shāfā,أريكة,no,,JS flashcard color card / no real image,m9-fc-05-沙发.webp,أريكة مريحة في غرفة معيشة دافئة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 沙发 (shāfā) meaning in Arabic: أريكة. Visual concept: أريكة مريحة في غرفة معيشة دافئة.",pending_generation_or_review
M9-FC-06,mock9.html,6,flashcard,镜子,jìngzi,مرآة,no,,JS flashcard color card / no real image,m9-fc-06-镜子.webp,مرآة مستديرة تعكس غرفة مضيئة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 镜子 (jìngzi) meaning in Arabic: مرآة. Visual concept: مرآة مستديرة تعكس غرفة مضيئة.",pending_generation_or_review
M9-FC-07,mock9.html,7,flashcard,护士,hùshi,ممرضة,yes,M6-FC-39 | M9-FC-07,JS flashcard color card / no real image,m9-fc-07-护士.webp,ممرضة تحمل ملفاً في عيادة نظيفة بابتسامة مطمئنة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 护士 (hùshi) meaning in Arabic: ممرضة. Visual concept: ممرضة تحمل ملفاً في عيادة نظيفة بابتسامة مطمئنة.",pending_generation_or_review
M9-FC-08,mock9.html,8,flashcard,包子,bāozi,باوزي,no,,JS flashcard color card / no real image,m9-fc-08-包子.webp,باوزي ساخن في سلة بخار من الخيزران.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 包子 (bāozi) meaning in Arabic: باوزي. Visual concept: باوزي ساخن في سلة بخار من الخيزران.",pending_generation_or_review
M9-FC-09,mock9.html,9,flashcard,购物车,gòuwùchē,عربة تسوق,no,,JS flashcard color card / no real image,m9-fc-09-购物车.webp,عربة تسوق ممتلئة في ممر سوبرماركت.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 购物车 (gòuwùchē) meaning in Arabic: عربة تسوق. Visual concept: عربة تسوق ممتلئة في ممر سوبرماركت.",pending_generation_or_review
M9-FC-10,mock9.html,10,flashcard,飞机,fēijī,طائرة,no,,JS flashcard color card / no real image,m9-fc-10-飞机.webp,طائرة تحلق في سماء زرقاء فوق الغيوم.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 飞机 (fēijī) meaning in Arabic: طائرة. Visual concept: طائرة تحلق في سماء زرقاء فوق الغيوم.",pending_generation_or_review
M9-FC-11,mock9.html,11,flashcard,翻译,fānyì,يترجم,no,,JS flashcard color card / no real image,m9-fc-11-翻译.webp,مترجمة بين شخصين وفقاعات لغة مختلفة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 翻译 (fānyì) meaning in Arabic: يترجم. Visual concept: مترجمة بين شخصين وفقاعات لغة مختلفة.",pending_generation_or_review
M9-FC-12,mock9.html,12,flashcard,减肥,jiǎnféi,حمية,yes,M6-FC-45 | M9-FC-12,JS flashcard color card / no real image,m9-fc-12-减肥.webp,اختيار بين كعكة وسلطة مع ميزان وشريط قياس؛ إنقاص وزن.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 减肥 (jiǎnféi) meaning in Arabic: حمية. Visual concept: اختيار بين كعكة وسلطة مع ميزان وشريط قياس؛ إنقاص وزن.",pending_generation_or_review
M9-FC-13,mock9.html,13,flashcard,调查,diàochá,تحقيق,no,,JS flashcard color card / no real image,m9-fc-13-调查.webp,محقق ينظر بعدسة مكبرة إلى أدلة وخريطة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 调查 (diàochá) meaning in Arabic: تحقيق. Visual concept: محقق ينظر بعدسة مكبرة إلى أدلة وخريطة.",pending_generation_or_review
M9-FC-14,mock9.html,14,flashcard,窗户,chuānghu,نافذة,no,,JS flashcard color card / no real image,m9-fc-14-窗户.webp,نافذة مفتوحة على منظر مشمس وستائر تتحرك.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 窗户 (chuānghu) meaning in Arabic: نافذة. Visual concept: نافذة مفتوحة على منظر مشمس وستائر تتحرك.",pending_generation_or_review
M9-FC-15,mock9.html,15,flashcard,奖学金,jiǎngxuéjīn,منحة,no,,JS flashcard color card / no real image,m9-fc-15-奖学金.webp,طالب يستلم ظرف منحة وشهادة أمام الجامعة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 奖学金 (jiǎngxuéjīn) meaning in Arabic: منحة. Visual concept: طالب يستلم ظرف منحة وشهادة أمام الجامعة.",pending_generation_or_review
M9-FC-16,mock9.html,16,flashcard,互联网,hùliánwǎng,إنترنت,yes,M6-FC-16 | M9-FC-16,JS flashcard color card / no real image,m9-fc-16-互联网.webp,كرة أرضية مضيئة تربط أجهزة متعددة حولها بخطوط شبكية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 互联网 (hùliánwǎng) meaning in Arabic: إنترنت. Visual concept: كرة أرضية مضيئة تربط أجهزة متعددة حولها بخطوط شبكية.",pending_generation_or_review
M9-FC-17,mock9.html,17,flashcard,博士,bóshì,دكتوراه,no,,JS flashcard color card / no real image,m9-fc-17-博士.webp,خريج دكتوراه بقبعة أكاديمية في مكتبة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 博士 (bóshì) meaning in Arabic: دكتوراه. Visual concept: خريج دكتوراه بقبعة أكاديمية في مكتبة.",pending_generation_or_review
M9-FC-18,mock9.html,18,flashcard,感冒,gǎnmào,زكام,no,,JS flashcard color card / no real image,m9-fc-18-感冒.webp,شخص مصاب بزكام على أريكة مع مناديل ومشروب دافئ.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 感冒 (gǎnmào) meaning in Arabic: زكام. Visual concept: شخص مصاب بزكام على أريكة مع مناديل ومشروب دافئ.",pending_generation_or_review
M9-FC-19,mock9.html,19,flashcard,排队,páiduì,يصطف,no,,JS flashcard color card / no real image,m9-fc-19-排队.webp,أشخاص مصطفون بانتظام أمام شباك خدمة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 排队 (páiduì) meaning in Arabic: يصطف. Visual concept: أشخاص مصطفون بانتظام أمام شباك خدمة.",pending_generation_or_review
M9-FC-20,mock9.html,20,flashcard,污染,wūrǎn,تلوث,no,,JS flashcard color card / no real image,m9-fc-20-污染.webp,نهر ملوث ومصانع ودخان؛ تلوث واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 污染 (wūrǎn) meaning in Arabic: تلوث. Visual concept: نهر ملوث ومصانع ودخان؛ تلوث واضح.",pending_generation_or_review
M9-FC-21,mock9.html,21,flashcard,功夫,gōngfū,كونغ فو,no,,JS flashcard color card / no real image,m9-fc-21-功夫.webp,مقاتل كونغ فو في ساحة صينية تقليدية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 功夫 (gōngfū) meaning in Arabic: كونغ فو. Visual concept: مقاتل كونغ فو في ساحة صينية تقليدية.",pending_generation_or_review
M9-FC-22,mock9.html,22,flashcard,地址,dìzhǐ,عنوان,no,,JS flashcard color card / no real image,m9-fc-22-地址.webp,رسالة تصل إلى صندوق بريد عند عنوان منزل واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 地址 (dìzhǐ) meaning in Arabic: عنوان. Visual concept: رسالة تصل إلى صندوق بريد عند عنوان منزل واضح.",pending_generation_or_review
M9-FC-23,mock9.html,23,flashcard,环境,huánjìng,بيئة,no,,JS flashcard color card / no real image,m9-fc-23-环境.webp,منظر طبيعي نظيف ومشرق مع حيوانات ونهر.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 环境 (huánjìng) meaning in Arabic: بيئة. Visual concept: منظر طبيعي نظيف ومشرق مع حيوانات ونهر.",pending_generation_or_review
M9-FC-24,mock9.html,24,flashcard,愉快,yúkuài,سعيد,no,,JS flashcard color card / no real image,m9-fc-24-愉快.webp,أصدقاء يضحكون في نزهة مشمسة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 愉快 (yúkuài) meaning in Arabic: سعيد. Visual concept: أصدقاء يضحكون في نزهة مشمسة.",pending_generation_or_review
M9-FC-25,mock9.html,25,flashcard,压力,yālì,ضغط,yes,M6-FC-54 | M9-FC-25,JS flashcard color card / no real image,m9-fc-25-压力.webp,طالب تحت صخرة رمزية فوق رأسه بين أوراق كثيرة؛ ضغط نفسي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 压力 (yālì) meaning in Arabic: ضغط. Visual concept: طالب تحت صخرة رمزية فوق رأسه بين أوراق كثيرة؛ ضغط نفسي.",pending_generation_or_review
M9-FC-26,mock9.html,26,flashcard,幽默,yōumò,فكاهي,no,,JS flashcard color card / no real image,m9-fc-26-幽默.webp,شخص يروي نكتة أمام أصدقاء يضحكون.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 幽默 (yōumò) meaning in Arabic: فكاهي. Visual concept: شخص يروي نكتة أمام أصدقاء يضحكون.",pending_generation_or_review
M9-FC-27,mock9.html,27,flashcard,紧张,jǐnzhāng,متوتر,no,,JS flashcard color card / no real image,m9-fc-27-紧张.webp,طالب متوتر أمام الجمهور أو الاختبار مع قطرات عرق.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 紧张 (jǐnzhāng) meaning in Arabic: متوتر. Visual concept: طالب متوتر أمام الجمهور أو الاختبار مع قطرات عرق.",pending_generation_or_review
M9-FC-28,mock9.html,28,flashcard,免费,miǎnfèi,مجاناً,no,,JS flashcard color card / no real image,m9-fc-28-免费.webp,لافتة دخول مجاني أو تذكرة مجانية بيد شخص سعيد.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 免费 (miǎnfèi) meaning in Arabic: مجاناً. Visual concept: لافتة دخول مجاني أو تذكرة مجانية بيد شخص سعيد.",pending_generation_or_review
M9-FC-29,mock9.html,29,flashcard,乒乓球,pīngpāngqiú,كرة طاولة,no,,JS flashcard color card / no real image,m9-fc-29-乒乓球.webp,مباراة تنس طاولة حماسية والكرة في الهواء.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 乒乓球 (pīngpāngqiú) meaning in Arabic: كرة طاولة. Visual concept: مباراة تنس طاولة حماسية والكرة في الهواء.",pending_generation_or_review
M9-FC-30,mock9.html,30,flashcard,足球,zúqiú,كرة قدم,no,,JS flashcard color card / no real image,m9-fc-30-足球.webp,تسديدة كرة قدم نحو المرمى في ملعب مضيء.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 足球 (zúqiú) meaning in Arabic: كرة قدم. Visual concept: تسديدة كرة قدم نحو المرمى في ملعب مضيء.",pending_generation_or_review
M9-FC-31,mock9.html,31,flashcard,公共汽车,gōnggòng qìchē,حافلة عامة,no,,JS flashcard color card / no real image,m9-fc-31-公共汽车.webp,حافلة عامة في محطة مع ركاب يصعدون.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 公共汽车 (gōnggòng qìchē) meaning in Arabic: حافلة عامة. Visual concept: حافلة عامة في محطة مع ركاب يصعدون.",pending_generation_or_review
M9-FC-32,mock9.html,32,flashcard,搬家,bānjiā,ينقل البيت,no,,JS flashcard color card / no real image,m9-fc-32-搬家.webp,عائلة تنقل صناديق وأثاث إلى بيت جديد.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 搬家 (bānjiā) meaning in Arabic: ينقل البيت. Visual concept: عائلة تنقل صناديق وأثاث إلى بيت جديد.",pending_generation_or_review
M9-FC-33,mock9.html,33,flashcard,礼拜天,lǐbàitiān,الأحد,no,,JS flashcard color card / no real image,m9-fc-33-礼拜天.webp,أحد هادئ في الحديقة أو تقويم يوم الأحد مشرق.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 礼拜天 (lǐbàitiān) meaning in Arabic: الأحد. Visual concept: أحد هادئ في الحديقة أو تقويم يوم الأحد مشرق.",pending_generation_or_review
M9-FC-34,mock9.html,34,flashcard,周日,zhōurì,الأحد,no,,JS flashcard color card / no real image,m9-fc-34-周日.webp,يوم الأحد على تقويم مع نشاط عائلي مريح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 周日 (zhōurì) meaning in Arabic: الأحد. Visual concept: يوم الأحد على تقويم مع نشاط عائلي مريح.",pending_generation_or_review
M9-FC-35,mock9.html,35,flashcard,邀请,yāoqǐng,يدعو,no,,JS flashcard color card / no real image,m9-fc-35-邀请.webp,بطاقة دعوة أنيقة تُقدَّم لشخص مبتسم.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 邀请 (yāoqǐng) meaning in Arabic: يدعو. Visual concept: بطاقة دعوة أنيقة تُقدَّم لشخص مبتسم.",pending_generation_or_review
M9-FC-36,mock9.html,36,flashcard,提供,tígōng,يقدّم,no,,JS flashcard color card / no real image,m9-fc-36-提供.webp,موظف يقدم كوب/معلومة/خدمة للعميل بلطف.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 提供 (tígōng) meaning in Arabic: يقدّم. Visual concept: موظف يقدم كوب/معلومة/خدمة للعميل بلطف.",pending_generation_or_review
M9-FC-37,mock9.html,37,flashcard,吸引,xīyǐn,يجذب,no,,JS flashcard color card / no real image,m9-fc-37-吸引.webp,مغناطيس أو عرض جذاب يجذب أنظار الناس.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 吸引 (xīyǐn) meaning in Arabic: يجذب. Visual concept: مغناطيس أو عرض جذاب يجذب أنظار الناس.",pending_generation_or_review
M9-FC-38,mock9.html,38,flashcard,应聘,yìngpìn,يتقدم لوظيفة,no,,JS flashcard color card / no real image,m9-fc-38-应聘.webp,مرشح وظيفة يدخل مقابلة بثقة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 应聘 (yìngpìn) meaning in Arabic: يتقدم لوظيفة. Visual concept: مرشح وظيفة يدخل مقابلة بثقة.",pending_generation_or_review
M9-FC-39,mock9.html,39,flashcard,服务区,fúwùqū,محطة خدمات,no,,JS flashcard color card / no real image,m9-fc-39-服务区.webp,استراحة طريق/محطة خدمات مع مطعم ووقود.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 服务区 (fúwùqū) meaning in Arabic: محطة خدمات. Visual concept: استراحة طريق/محطة خدمات مع مطعم ووقود.",pending_generation_or_review
M9-FC-40,mock9.html,40,flashcard,马虎,mǎhu,مهمل,no,,JS flashcard color card / no real image,m9-fc-40-马虎.webp,شخص مهمل يوقع أخطاء في ورقة بسبب استعجال.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 马虎 (mǎhu) meaning in Arabic: مهمل. Visual concept: شخص مهمل يوقع أخطاء في ورقة بسبب استعجال.",pending_generation_or_review
M9-FC-41,mock9.html,41,flashcard,仔细,zǐxì,دقيق,no,,JS flashcard color card / no real image,m9-fc-41-仔细.webp,شخص يفحص شيئاً بعدسة مكبرة بدقة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 仔细 (zǐxì) meaning in Arabic: دقيق. Visual concept: شخص يفحص شيئاً بعدسة مكبرة بدقة.",pending_generation_or_review
M9-FC-42,mock9.html,42,flashcard,错误,cuòwù,خطأ,no,,JS flashcard color card / no real image,m9-fc-42-错误.webp,ورقة عليها علامة خطأ حمراء وتصحيح واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 错误 (cuòwù) meaning in Arabic: خطأ. Visual concept: ورقة عليها علامة خطأ حمراء وتصحيح واضح.",pending_generation_or_review
